epoch, val_sensitivity   , val_accuracy      , val_specificity   , val_precision     , step, val_auroc         , val_loss           , unlabeled_data_utilization, train_loss         , test_sensitivity  , test_specificity  , test_precision    , test_accuracy     , test_auroc
    0, 0.6428571343421936, 0.6736842393875122, 0.698113203048706 , 0.6279069781303406,   26, 0.6704851388931274, 0.5533592700958252 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    0,                   ,                   ,                   ,                   ,   26,                   ,                    ,                        0.0, 0.5953434109687805 ,                   ,                   ,                   ,                   ,  
    1, 0.5714285969734192, 0.7263157963752747, 0.849056601524353 , 0.75              ,   53, 0.7102425694465637, 0.505268931388855  ,                           ,                    ,                   ,                   ,                   ,                   ,  
    1,                   ,                   ,                   ,                   ,   53,                   ,                    ,                        0.0, 0.5238587856292725 ,                   ,                   ,                   ,                   ,  
    2, 0.5952380895614624, 0.7052631378173828, 0.792452871799469 , 0.6944444179534912,   80, 0.6938453912734985, 0.5491955280303955 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    2,                   ,                   ,                   ,                   ,   80,                   ,                    ,                        0.0, 0.4776250123977661 ,                   ,                   ,                   ,                   ,  
    3, 0.6190476417541504, 0.7473683953285217, 0.849056601524353 , 0.7647058367729187,  107, 0.7340521812438965, 0.49128761887550354,                           ,                    ,                   ,                   ,                   ,                   ,  
    3,                   ,                   ,                   ,                   ,  107,                   ,                    ,                        0.0, 0.4754534065723419 ,                   ,                   ,                   ,                   ,  
    4, 0.6666666865348816, 0.7894737124443054, 0.8867924809455872, 0.8235294818878174,  134, 0.7767295241355896, 0.5263750553131104 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    4,                   ,                   ,                   ,                   ,  134,                   ,                    ,                        0.0, 0.46237045526504517,                   ,                   ,                   ,                   ,  
    5, 0.6666666865348816, 0.7894737124443054, 0.8867924809455872, 0.8235294818878174,  161, 0.7767295241355896, 0.4695991575717926 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    5,                   ,                   ,                   ,                   ,  161,                   ,                    ,                        0.0, 0.447722852230072  ,                   ,                   ,                   ,                   ,  
    6, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477, 0.8205127716064453,  188, 0.8149146437644958, 0.5438039302825928 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    6,                   ,                   ,                   ,                   ,  188,                   ,                    ,                        0.0, 0.4263618290424347 ,                   ,                   ,                   ,                   ,  
    7, 0.761904776096344 , 0.8526315689086914, 0.9245282411575317, 0.8888888955116272,  215, 0.8432164788246155, 0.49858731031417847,                           ,                    ,                   ,                   ,                   ,                   ,  
    7,                   ,                   ,                   ,                   ,  215,                   ,                    ,                        0.0, 0.41679054498672485,                   ,                   ,                   ,                   ,  
    8, 0.761904776096344 , 0.7894737124443054, 0.8113208413124084, 0.761904776096344 ,  242, 0.7866127490997314, 0.4680745303630829 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    8,                   ,                   ,                   ,                   ,  242,                   ,                    ,                        0.0, 0.41339340806007385,                   ,                   ,                   ,                   ,  
    9, 0.7142857313156128, 0.8315789699554443, 0.9245282411575317, 0.8823529481887817,  269, 0.8194069862365723, 0.4389878809452057 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    9,                   ,                   ,                   ,                   ,  269,                   ,                    ,                        0.0, 0.3995000422000885 ,                   ,                   ,                   ,                   ,  
   10, 0.6666666865348816, 0.800000011920929 , 0.9056603908538818, 0.8484848737716675,  296, 0.7861635684967041, 0.3838796019554138 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   10,                   ,                   ,                   ,                   ,  296,                   ,                    ,                        0.0, 0.4002392292022705 ,                   ,                   ,                   ,                   ,  
   11, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872, 0.8421052694320679,  323, 0.824348509311676 , 0.42836394906044006,                           ,                    ,                   ,                   ,                   ,                   ,  
   11,                   ,                   ,                   ,                   ,  323,                   ,                    ,                        0.0, 0.4153936207294464 ,                   ,                   ,                   ,                   ,  
   12, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818, 0.8648648858070374,  350, 0.8337825536727905, 0.4177979826927185 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   12,                   ,                   ,                   ,                   ,  350,                   ,                    ,                        0.0, 0.39936554431915283,                   ,                   ,                   ,                   ,  
   13, 0.7857142686843872, 0.8526315689086914, 0.9056603908538818, 0.8684210777282715,  377, 0.8456873297691345, 0.4471607506275177 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   13,                   ,                   ,                   ,                   ,  377,                   ,                    ,                        0.0, 0.3870786726474762 ,                   ,                   ,                   ,                   ,  
   14, 0.7142857313156128, 0.8105263113975525, 0.8867924809455872, 0.8333333134651184,  404, 0.8005390167236328, 0.4401405453681946 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   14,                   ,                   ,                   ,                   ,  404,                   ,                    ,                        0.0, 0.3794102370738983 ,                   ,                   ,                   ,                   ,  
   15, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872, 0.8421052694320679,  431, 0.824348509311676 , 0.44850248098373413,                           ,                    ,                   ,                   ,                   ,                   ,  
   15,                   ,                   ,                   ,                   ,  431,                   ,                    ,                        0.0, 0.3937017023563385 ,                   ,                   ,                   ,                   ,  
   16, 0.738095223903656 , 0.7894737124443054, 0.8301886916160583, 0.7749999761581421,  458, 0.7841419577598572, 0.48084747791290283,                           ,                    ,                   ,                   ,                   ,                   ,  
   16,                   ,                   ,                   ,                   ,  458,                   ,                    ,                        0.0, 0.3621869385242462 ,                   ,                   ,                   ,                   ,  
   17, 0.738095223903656 , 0.8105263113975525, 0.8679245114326477, 0.8157894611358643,  485, 0.8030098080635071, 0.43655091524124146,                           ,                    ,                   ,                   ,                   ,                   ,  
   17,                   ,                   ,                   ,                   ,  485,                   ,                    ,                        0.0, 0.37917810678482056,                   ,                   ,                   ,                   ,  
   18, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818, 0.8648648858070374,  512, 0.8337825536727905, 0.4375682771205902 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   18,                   ,                   ,                   ,                   ,  512,                   ,                    ,                        0.0, 0.34439677000045776,                   ,                   ,                   ,                   ,  
   19, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477, 0.8205127716064453,  539, 0.8149146437644958, 0.4367266297340393 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   19,                   ,                   ,                   ,                   ,  539,                   ,                    ,                        0.0, 0.3587462902069092 ,                   ,                   ,                   ,                   ,  
   20, 0.7142857313156128, 0.8315789699554443, 0.9245282411575317, 0.8823529481887817,  566, 0.8194069862365723, 0.41773369908332825,                           ,                    ,                   ,                   ,                   ,                   ,  
   20,                   ,                   ,                   ,                   ,  566,                   ,                    ,                        0.0, 0.3645329773426056 ,                   ,                   ,                   ,                   ,  
   21, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872, 0.8378377556800842,  593, 0.8124438524246216, 0.42193156480789185,                           ,                    ,                   ,                   ,                   ,                   ,  
   21,                   ,                   ,                   ,                   ,  593,                   ,                    ,                        0.0, 0.3639853894710541 ,                   ,                   ,                   ,                   ,  
   22, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872, 0.8378377556800842,  620, 0.8124438524246216, 0.39545056223869324,                           ,                    ,                   ,                   ,                   ,                   ,  
   22,                   ,                   ,                   ,                   ,  620,                   ,                    ,                        0.0, 0.3452404737472534 ,                   ,                   ,                   ,                   ,  
   23, 0.7857142686843872, 0.8315789699554443, 0.8679245114326477, 0.824999988079071 ,  647, 0.8268193006515503, 0.3927794098854065 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   23,                   ,                   ,                   ,                   ,  647,                   ,                    ,                        0.0, 0.34966084361076355,                   ,                   ,                   ,                   ,  
