epoch, val_sensitivity   , val_accuracy      , val_specificity    , val_precision     , step, val_auroc         , val_loss           , unlabeled_data_utilization, train_loss         , test_sensitivity  , test_specificity  , test_precision    , test_accuracy     , test_auroc
    0, 0.8095238208770752, 0.6000000238418579, 0.43396225571632385, 0.53125           ,   26, 0.6217430830001831, 0.6136082410812378 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    0,                   ,                   ,                    ,                   ,   26,                   ,                    ,       0.005261704791337252, 0.6090264916419983 ,                   ,                   ,                   ,                   ,  
    1, 0.523809552192688 , 0.6842105388641357, 0.8113208413124084 , 0.6875            ,   53, 0.6675651669502258, 0.4884320795536041 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    1,                   ,                   ,                    ,                   ,   53,                   ,                    ,       0.0079661188647151  , 0.556881308555603  ,                   ,                   ,                   ,                   ,  
    2, 0.6428571343421936, 0.7368420958518982, 0.8113208413124084 , 0.7297297716140747,   80, 0.7270889282226562, 0.4524784982204437 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    2,                   ,                   ,                    ,                   ,   80,                   ,                    ,       0.04721826687455177 , 0.5194387435913086 ,                   ,                   ,                   ,                   ,  
    3, 0.5952380895614624, 0.7894737124443054, 0.9433962106704712 , 0.8928571343421936,  107, 0.7693171501159668, 0.4365386664867401 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    3,                   ,                   ,                    ,                   ,  107,                   ,                    ,       0.08091853559017181 , 0.49313998222351074,                   ,                   ,                   ,                   ,  
    4, 0.6190476417541504, 0.75789475440979  , 0.8679245114326477 , 0.7878788113594055,  134, 0.7434860467910767, 0.4880269765853882 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    4,                   ,                   ,                    ,                   ,  134,                   ,                    ,       0.13270965218544006 , 0.49786168336868286,                   ,                   ,                   ,                   ,  
    5, 0.6666666865348816, 0.8105263113975525, 0.9245282411575317 , 0.875             ,  161, 0.795597493648529 , 0.4453677237033844 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    5,                   ,                   ,                    ,                   ,  161,                   ,                    ,       0.1484302431344986  , 0.4624680280685425 ,                   ,                   ,                   ,                   ,  
    6, 0.6428571343421936, 0.7789473533630371, 0.8867924809455872 , 0.8181818127632141,  188, 0.7648246884346008, 0.45180827379226685,                           ,                    ,                   ,                   ,                   ,                   ,  
    6,                   ,                   ,                    ,                   ,  188,                   ,                    ,       0.20571716129779816 , 0.5137305855751038 ,                   ,                   ,                   ,                   ,  
    7, 0.738095223903656 , 0.8105263113975525, 0.8679245114326477 , 0.8157894611358643,  215, 0.8030098080635071, 0.42781203985214233,                           ,                    ,                   ,                   ,                   ,                   ,  
    7,                   ,                   ,                    ,                   ,  215,                   ,                    ,       0.19756361842155457 , 0.4659917950630188 ,                   ,                   ,                   ,                   ,  
    8, 0.6904761791229248, 0.821052610874176 , 0.9245282411575317 , 0.8787878751754761,  242, 0.8075022101402283, 0.43307116627693176,                           ,                    ,                   ,                   ,                   ,                   ,  
    8,                   ,                   ,                    ,                   ,  242,                   ,                    ,       0.20870865881443024 , 0.45310690999031067,                   ,                   ,                   ,                   ,  
    9, 0.7142857313156128, 0.821052610874176 , 0.9056603908538818 , 0.8571428656578064,  269, 0.8099730610847473, 0.4513687789440155 ,                           ,                    ,                   ,                   ,                   ,                   ,  
    9,                   ,                   ,                    ,                   ,  269,                   ,                    ,       0.24283355474472046 , 0.48104962706565857,                   ,                   ,                   ,                   ,  
   10, 0.738095223903656 , 0.800000011920929 , 0.849056601524353  , 0.7948718667030334,  296, 0.7935759425163269, 0.4691820740699768 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   10,                   ,                   ,                    ,                   ,  296,                   ,                    ,       0.23769371211528778 , 0.4618992507457733 ,                   ,                   ,                   ,                   ,  
   11, 0.6666666865348816, 0.800000011920929 , 0.9056603908538818 , 0.8484848737716675,  323, 0.7861635684967041, 0.41588249802589417,                           ,                    ,                   ,                   ,                   ,                   ,  
   11,                   ,                   ,                    ,                   ,  323,                   ,                    ,       0.2566596269607544  , 0.4499865770339966 ,                   ,                   ,                   ,                   ,  
   12, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477 , 0.8205127716064453,  350, 0.8149146437644958, 0.4672682583332062 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   12,                   ,                   ,                    ,                   ,  350,                   ,                    ,       0.2635236084461212  , 0.4374314546585083 ,                   ,                   ,                   ,                   ,  
   13, 0.7142857313156128, 0.7789473533630371, 0.8301886916160583 , 0.7692307829856873,  377, 0.7722371816635132, 0.409621000289917  ,                           ,                    ,                   ,                   ,                   ,                   ,  
