val_specificity,val_loss,val_accuracy,epoch,val_sensitivity,val_precision,val_auroc,step,unlabeled_data_utilization,train_loss,test_auroc,test_precision,test_accuracy,test_sensitivity,test_specificity
1.0,0.6180678606033325,0.557894766330719,0,0.0,0.0,0.5,26,,,,,,,
,,,0,,,,26,0.0,0.6350711584091187,,,,,
1.0,1.331194281578064,0.5684210658073425,1,0.02380952425301075,1.0,0.511904776096344,53,,,,,,,
,,,1,,,,53,0.0,0.6251493692398071,,,,,
0.9811320900917053,1.4417656660079956,0.5789473652839661,2,0.0714285746216774,0.75,0.5262802839279175,80,,,,,,,
,,,2,,,,80,0.0,0.6189412474632263,,,,,
1.0,0.7422724962234497,0.5789473652839661,3,0.0476190485060215,1.0,0.523809552192688,107,,,,,,,
,,,3,,,,107,0.0,0.611775279045105,,,,,
0.9811320900917053,0.9576464891433716,0.5894736647605896,4,0.095238097012043,0.800000011920929,0.5381851196289062,134,,,,,,,
,,,4,,,,134,0.0,0.5995489954948425,,,,,
1.0,2.333134412765503,0.6631578803062439,5,0.2380952388048172,1.0,0.6190476417541504,161,,,,,,,
,,,5,,,,161,0.0,0.5995479226112366,,,,,
1.0,3.3095123767852783,0.6631578803062439,6,0.2380952388048172,1.0,0.6190476417541504,188,,,,,,,
,,,6,,,,188,0.0,0.5739520192146301,,,,,
0.9811320900917053,1.8677031993865967,0.6842105388641357,7,0.3095238208770752,0.9285714626312256,0.6453279256820679,215,,,,,,,
,,,7,,,,215,0.0,0.5494533181190491,,,,,
1.0,0.8712679147720337,0.7368420958518982,8,0.4047619104385376,1.0,0.7023809552192688,242,,,,,,,
,,,8,,,,242,0.0,0.533623218536377,,,,,
0.9811320900917053,1.203815221786499,0.7368420958518982,9,0.4285714328289032,0.9473684430122375,0.7048517465591431,269,,,,,,,
,,,9,,,,269,0.0,0.5045363903045654,,,,,
0.9622642397880554,0.8170679807662964,0.7684210538864136,10,0.523809552192688,0.9166666865348816,0.7430369257926941,296,,,,,,,
,,,10,,,,296,0.0,0.49854108691215515,,,,,
0.9433962106704712,2.870349168777466,0.7894737124443054,11,0.5952380895614624,0.8928571343421936,0.7693171501159668,323,,,,,,,
,,,11,,,,323,0.0,0.4882794916629791,,,,,
0.9811320900917053,0.9893335700035095,0.800000011920929,12,0.5714285969734192,0.9599999785423279,0.7762802839279175,350,,,,,,,
,,,12,,,,350,0.0,0.4817168712615967,,,,,
0.9622642397880554,1.920048713684082,0.8105263113975525,13,0.6190476417541504,0.9285714626312256,0.7906559109687805,377,,,,,,,
,,,13,,,,377,0.0,0.47843456268310547,,,,,
0.9433962106704712,2.365257978439331,0.800000011920929,14,0.6190476417541504,0.8965517282485962,0.781221866607666,404,,,,,,,
,,,14,,,,404,0.0,0.4827931523323059,,,,,
0.9622642397880554,1.0042883157730103,0.7789473533630371,15,0.5476190447807312,0.9200000166893005,0.7549417018890381,431,,,,,,,
,,,15,,,,431,0.0,0.4875771999359131,,,,,
0.9622642397880554,1.241836428642273,0.7894737124443054,16,0.5714285969734192,0.9230769276618958,0.7668463587760925,458,,,,,,,
,,,16,,,,458,0.0,0.4843592047691345,,,,,
0.9622642397880554,1.611655354499817,0.7789473533630371,17,0.5476190447807312,0.9200000166893005,0.7549417018890381,485,,,,,,,
,,,17,,,,485,0.0,0.4609852731227875,,,,,
0.9622642397880554,1.0956053733825684,0.7894737124443054,18,0.5714285969734192,0.9230769276618958,0.7668463587760925,512,,,,,,,
,,,18,,,,512,0.0,0.4625372588634491,,,,,
0.9622642397880554,0.9924978017807007,0.800000011920929,19,0.5952380895614624,0.9259259104728699,0.7787511944770813,539,,,,,,,
,,,19,,,,539,0.0,0.43997931480407715,,,,,
0.9622642397880554,2.6482605934143066,0.800000011920929,20,0.5952380895614624,0.9259259104728699,0.7787511944770813,566,,,,,,,
,,,20,,,,566,0.0,0.46232378482818604,,,,,
0.9622642397880554,0.8256680369377136,0.7894737124443054,21,0.5714285969734192,0.9230769276618958,0.7668463587760925,593,,,,,,,
,,,21,,,,593,0.0,0.4434836804866791,,,,,
0.9622642397880554,0.8316755890846252,0.7789473533630371,22,0.5476190447807312,0.9200000166893005,0.7549417018890381,620,,,,,,,
,,,22,,,,620,0.0,0.4370911419391632,,,,,
0.9622642397880554,0.9132344126701355,0.7789473533630371,23,0.5476190447807312,0.9200000166893005,0.7549417018890381,647,,,,,,,
,,,23,,,,647,0.0,0.44513338804244995,,,,,
0.9622642397880554,0.8598818182945251,0.7894737124443054,24,0.5714285969734192,0.9230769276618958,0.7668463587760925,674,,,,,,,
,,,24,,,,674,0.0,0.4318705201148987,,,,,
0.9622642397880554,1.1945521831512451,0.800000011920929,25,0.5952380895614624,0.9259259104728699,0.7787511944770813,701,,,,,,,
,,,25,,,,701,0.0,0.42486804723739624,,,,,
0.9622642397880554,1.3402279615402222,0.800000011920929,26,0.5952380895614624,0.9259259104728699,0.7787511944770813,728,,,,,,,
,,,26,,,,728,0.0,0.423919677734375,,,,,
0.9622642397880554,0.8157130479812622,0.8315789699554443,27,0.6666666865348816,0.9333332777023315,0.8144654631614685,755,,,,,,,
,,,27,,,,755,0.0,0.428676962852478,,,,,
0.9622642397880554,0.5192344188690186,0.7684210538864136,28,0.523809552192688,0.9166666865348816,0.7430369257926941,782,,,,,,,
,,,28,,,,782,0.0,0.4198704957962036,,,,,
0.9433962106704712,0.7116489410400391,0.8315789699554443,29,0.6904761791229248,0.90625,0.816936194896698,809,,,,,,,
,,,29,,,,809,0.0,0.4272671937942505,,,,,
0.9622642397880554,1.9741827249526978,0.800000011920929,30,0.5952380895614624,0.9259259104728699,0.7787511944770813,836,,,,,,,
,,,30,,,,836,0.0,0.40873485803604126,,,,,
0.9622642397880554,0.9895063042640686,0.8315789699554443,31,0.6666666865348816,0.9333332777023315,0.8144654631614685,863,,,,,,,
,,,31,,,,863,0.0,0.39692145586013794,,,,,
0.9433962106704712,0.7525240182876587,0.7684210538864136,32,0.5476190447807312,0.8846153616905212,0.7455076575279236,890,,,,,,,
,,,32,,,,890,0.0,0.4055491089820862,,,,,
