step,val_loss,epoch,val_specificity,val_accuracy,val_precision,val_auroc,val_sensitivity,unlabeled_data_utilization,train_loss,test_sensitivity,test_auroc,test_accuracy,test_precision,test_specificity
138,0.38277873396873474,0,0.28999999165534973,0.3333333432674408,0.08974358439445496,0.5824999809265137,0.875,,,,,,,
138,,0,,,,,,0.0018532719695940614,0.35683000087738037,,,,,
277,0.3531605899333954,1,0.3100000023841858,0.35185185074806213,0.09210526198148727,0.5924999713897705,0.875,,,,,,,
277,,1,,,,,,0.002423469442874193,0.3496655225753784,,,,,
416,0.34973233938217163,2,0.3700000047683716,0.39814814925193787,0.08695653080940247,0.5600000023841858,0.75,,,,,,,
416,,2,,,,,,0.004681174177676439,0.33892157673835754,,,,,
555,0.3374107778072357,3,0.49000000953674316,0.5,0.0892857164144516,0.5575000047683716,0.625,,,,,,,
555,,3,,,,,,0.008799751289188862,0.3244572877883911,,,,,
694,0.33307111263275146,4,0.4000000059604645,0.43518519401550293,0.10447761416435242,0.637499988079071,0.875,,,,,,,
694,,4,,,,,,0.008240049704909325,0.31851160526275635,,,,,
833,0.3161327540874481,5,0.5699999928474426,0.5555555820465088,0.06521739065647125,0.4724999964237213,0.375,,,,,,,
833,,5,,,,,,0.013624879531562328,0.30889779329299927,,,,,
972,0.3087049424648285,6,0.6700000166893005,0.6481481194496155,0.0833333358168602,0.5224999785423279,0.375,,,,,,,
972,,6,,,,,,0.01781429909169674,0.3046634793281555,,,,,
1111,0.3047780394554138,7,0.75,0.7037037014961243,0.03846153989434242,0.4375,0.125,,,,,,,
1111,,7,,,,,,0.01969137229025364,0.2975028455257416,,,,,
1250,0.30129340291023254,8,0.6800000071525574,0.6388888955116272,0.03030303306877613,0.4025000035762787,0.125,,,,,,,
1250,,8,,,,,,0.022105079144239426,0.2906672954559326,,,,,
1389,0.30856451392173767,9,0.7599999904632568,0.7129629850387573,0.03999999538064003,0.4424999952316284,0.125,,,,,,,
1389,,9,,,,,,0.027837807312607765,0.28524190187454224,,,,,
1528,0.30736464262008667,10,0.8799999952316284,0.8148148059844971,0.0,0.4399999976158142,0.0,,,,,,,
1528,,10,,,,,,0.036560822278261185,0.28444579243659973,,,,,
1667,0.28793084621429443,11,0.949999988079071,0.8796296119689941,0.0,0.4749999940395355,0.0,,,,,,,
1667,,11,,,,,,0.03702684864401817,0.2793489694595337,,,,,
1806,0.29665982723236084,12,0.8700000047683716,0.8055555820465088,0.0,0.4350000023841858,0.0,,,,,,,
1806,,12,,,,,,0.043547723442316055,0.2781139016151428,,,,,
1945,0.29803597927093506,13,0.8899999260902405,0.8240740895271301,0.0,0.44499996304512024,0.0,,,,,,,
1945,,13,,,,,,0.05153960734605789,0.27316856384277344,,,,,
2084,0.2940318286418915,14,0.9700000286102295,0.8981481194496155,0.0,0.48500001430511475,0.0,,,,,,,
2084,,14,,,,,,0.0490310899913311,0.27436932921409607,,,,,
2223,0.29879260063171387,15,0.9300000071525574,0.8611111044883728,0.0,0.4650000035762787,0.0,,,,,,,
2223,,15,,,,,,0.060203343629837036,0.2712525427341461,,,,,
2362,0.3020513653755188,16,0.9599999785423279,0.8888888955116272,0.0,0.47999998927116394,0.0,,,,,,,
2362,,16,,,,,,0.06393302232027054,0.27286943793296814,,,,,
2501,0.30530408024787903,17,0.949999988079071,0.8796296119689941,0.0,0.4749999940395355,0.0,,,,,,,
2501,,17,,,,,,0.06371556222438812,0.26916632056236267,,,,,
2640,0.2733802795410156,18,0.9200000166893005,0.8518518805503845,0.0,0.46000000834465027,0.0,,,,,,,
2640,,18,,,,,,0.06369617581367493,0.26579806208610535,,,,,
2779,0.3288516402244568,19,0.9900000095367432,0.9166666865348816,0.0,0.4950000047683716,0.0,,,,,,,
2779,,19,,,,,,0.07109932601451874,0.2686612606048584,,,,,
2780,,20,,,,,,,,0.523809552192688,0.4977918863296509,0.4758364260196686,0.07746478915214539,0.4717741906642914
2780,,20,,,,,,,,0.0476190447807312,0.5056643486022949,0.8921933174133301,0.09999999403953552,0.9637095928192139
2780,,20,,,,,,,,0.0952380895614624,0.543586790561676,0.921933114528656,0.5,0.9919354915618896
