step,val_auroc,val_precision,epoch,val_specificity,val_loss,val_accuracy,val_sensitivity,train_loss,unlabeled_data_utilization,test_specificity,test_sensitivity,test_precision,test_accuracy,test_auroc
34,0.4811321198940277,0.0,0,0.9622642397880554,0.646714448928833,0.5368421077728271,0.0,,,,,,,
34,,,0,,,,,0.6217853426933289,0.0063498858362436295,,,,,
69,0.48607367277145386,0.3333333432674408,1,0.9245282411575317,0.6387428045272827,0.5368421077728271,0.0476190485060215,,,,,,,
69,,,1,,,,,0.6192958950996399,0.011483433656394482,,,,,
104,0.4716981053352356,0.0,2,0.9433962106704712,0.6166443228721619,0.5263158082962036,0.0,,,,,,,
104,,,2,,,,,0.6184088587760925,0.011954485438764095,,,,,
139,0.5193171501159668,0.5714285969734192,3,0.9433962106704712,0.7433300018310547,0.5684210658073425,0.095238097012043,,,,,,,
139,,,3,,,,,0.6082362532615662,0.008116655051708221,,,,,
174,0.5336927175521851,0.6000000238418579,4,0.9245282411575317,0.6842823028564453,0.5789473652839661,0.1428571492433548,,,,,,,
174,,,4,,,,,0.5951555967330933,0.031872667372226715,,,,,
209,0.5833333134651184,1.0,5,1.0,0.6387034058570862,0.6315789222717285,0.1666666716337204,,,,,,,
209,,,5,,,,,0.6112412810325623,0.029758954420685768,,,,,
244,0.7266397476196289,0.8214285373687744,6,0.9056603908538818,0.6274080872535706,0.7473683953285217,0.5476190447807312,,,,,,,
244,,,6,,,,,0.5626729726791382,0.014865528792142868,,,,,
279,0.7385445237159729,0.8275862336158752,7,0.9056603908538818,0.6149656176567078,0.75789475440979,0.5714285969734192,,,,,,,
279,,,7,,,,,0.5843138098716736,0.031071705743670464,,,,,
314,0.7553907632827759,0.7941176295280457,8,0.8679245114326477,0.6428139209747314,0.7684210538864136,0.6428571343421936,,,,,,,
314,,,8,,,,,0.5639190077781677,0.025562645867466927,,,,,
349,0.7360737323760986,0.8518518805503845,9,0.9245282411575317,0.6942734718322754,0.75789475440979,0.5476190447807312,,,,,,,
349,,,9,,,,,0.5456005930900574,0.03148837387561798,,,,,
384,0.8075022101402283,0.8787878751754761,10,0.9245282411575317,0.5626863241195679,0.821052610874176,0.6904761791229248,,,,,,,
384,,,10,,,,,0.5180078148841858,0.04030374810099602,,,,,
419,0.8099730610847473,0.8571428656578064,11,0.9056603908538818,0.6285756230354309,0.821052610874176,0.7142857313156128,,,,,,,
419,,,11,,,,,0.49781572818756104,0.07446817308664322,,,,,
454,0.7911050915718079,0.8108107447624207,12,0.8679245114326477,0.5253044962882996,0.800000011920929,0.7142857313156128,,,,,,,
454,,,12,,,,,0.4707028269767761,0.1167798563838005,,,,,
489,0.8194069862365723,0.8823529481887817,13,0.9245282411575317,0.5859296321868896,0.8315789699554443,0.7142857313156128,,,,,,,
489,,,13,,,,,0.5110973715782166,0.13926447927951813,,,,,
524,0.8124438524246216,0.8378377556800842,14,0.8867924809455872,0.6184709668159485,0.821052610874176,0.738095223903656,,,,,,,
524,,,14,,,,,0.45553725957870483,0.14948567748069763,,,,,
559,0.8099730610847473,0.8571428656578064,15,0.9056603908538818,0.46020203828811646,0.821052610874176,0.7142857313156128,,,,,,,
559,,,15,,,,,0.45128822326660156,0.18099746108055115,,,,,
594,0.824348509311676,0.8421052694320679,16,0.8867924809455872,0.5328651070594788,0.8315789699554443,0.761904776096344,,,,,,,
594,,,16,,,,,0.4378332197666168,0.23098665475845337,,,,,
629,0.7935759425163269,0.7948718667030334,17,0.849056601524353,0.4701521098613739,0.800000011920929,0.738095223903656,,,,,,,
629,,,17,,,,,0.4491468369960785,0.2749846577644348,,,,,
664,0.83625328540802,0.8461537957191467,18,0.8867924809455872,0.4436820447444916,0.8421052694320679,0.7857142686843872,,,,,,,
664,,,18,,,,,0.45540645718574524,0.28088751435279846,,,,,
699,0.8099730610847473,0.8571428656578064,19,0.9056603908538818,0.4576253890991211,0.821052610874176,0.7142857313156128,,,,,,,
699,,,19,,,,,0.4147782325744629,0.32217907905578613,,,,,
734,0.7792003154754639,0.8055555820465088,20,0.8679245114326477,0.5401768684387207,0.7894737124443054,0.6904761791229248,,,,,,,
734,,,20,,,,,0.4189227223396301,0.36984923481941223,,,,,
769,0.8005390167236328,0.8333333134651184,21,0.8867924809455872,0.46075332164764404,0.8105263113975525,0.7142857313156128,,,,,,,
769,,,21,,,,,0.43632254004478455,0.40502455830574036,,,,,
804,0.8099730610847473,0.8571428656578064,22,0.9056603908538818,0.4461037814617157,0.821052610874176,0.7142857313156128,,,,,,,
804,,,22,,,,,0.4180352985858917,0.41330474615097046,,,,,
839,0.8149146437644958,0.8205127716064453,23,0.8679245114326477,0.5124356150627136,0.821052610874176,0.761904776096344,,,,,,,
839,,,23,,,,,0.41665422916412354,0.4193781912326813,,,,,
874,0.7980683445930481,0.8529411554336548,24,0.9056603908538818,0.462964802980423,0.8105263113975525,0.6904761791229248,,,,,,,
874,,,24,,,,,0.43932151794433594,0.44214555621147156,,,,,
909,0.8337825536727905,0.8648648858070374,25,0.9056603908538818,0.44178497791290283,0.8421052694320679,0.761904776096344,,,,,,,
909,,,25,,,,,0.42748525738716125,0.4390459656715393,,,,,
944,0.8054806590080261,0.800000011920929,26,0.849056601524353,0.467289000749588,0.8105263113975525,0.761904776096344,,,,,,,
944,,,26,,,,,0.4218344986438751,0.4533388316631317,,,,,
979,0.8149146437644958,0.8205127716064453,27,0.8679245114326477,0.4166291356086731,0.821052610874176,0.761904776096344,,,,,,,
979,,,27,,,,,0.4278247654438019,0.44744738936424255,,,,,
1014,0.8194069862365723,0.8823529481887817,28,0.9245282411575317,0.5181937217712402,0.8315789699554443,0.7142857313156128,,,,,,,
1014,,,28,,,,,0.4329853951931,0.46366429328918457,,,,,
1049,0.824348509311676,0.8421052694320679,29,0.8867924809455872,0.5045821666717529,0.8315789699554443,0.761904776096344,,,,,,,
1049,,,29,,,,,0.4100624918937683,0.4646822512149811,,,,,
1084,0.8407456874847412,0.9117646813392639,30,0.9433962106704712,0.5067521333694458,0.8526315689086914,0.738095223903656,,,,,,,
1084,,,30,,,,,0.44379693269729614,0.46920692920684814,,,,,
1119,0.8099730610847473,0.8571428656578064,31,0.9056603908538818,0.4268850088119507,0.821052610874176,0.7142857313156128,,,,,,,
1119,,,31,,,,,0.41167035698890686,0.49729982018470764,,,,,
1154,0.8218778371810913,0.8611111044883728,32,0.9056603908538818,0.4642682671546936,0.8315789699554443,0.738095223903656,,,,,,,
1154,,,32,,,,,0.4225597679615021,0.5027029514312744,,,,,
1189,0.8124438524246216,0.8378377556800842,33,0.8867924809455872,0.4570827782154083,0.821052610874176,0.738095223903656,,,,,,,
1189,,,33,,,,,0.42049410939216614,0.5018277764320374,,,,,
1224,0.831311821937561,0.8857142925262451,34,0.9245282411575317,0.47203442454338074,0.8421052694320679,0.738095223903656,,,,,,,
1224,,,34,,,,,0.41772162914276123,0.5129088759422302,,,,,
1259,0.7697663903236389,0.7837837338447571,35,0.849056601524353,0.43180572986602783,0.7789473533630371,0.6904761791229248,,,,,,,
1259,,,35,,,,,0.39512765407562256,0.5216691493988037,,,,,
1294,0.8218778371810913,0.8611111044883728,36,0.9056603908538818,0.43693840503692627,0.8315789699554443,0.738095223903656,,,,,,,
1294,,,36,,,,,0.4149297773838043,0.5302058458328247,,,,,
1329,0.8144654631614685,0.9333332777023315,37,0.9622642397880554,0.46199461817741394,0.8315789699554443,0.6666666865348816,,,,,,,
1329,,,37,,,,,0.3970247209072113,0.5316243171691895,,,,,
1364,0.7980683445930481,0.8529411554336548,38,0.9056603908538818,0.49402499198913574,0.8105263113975525,0.6904761791229248,,,,,,,
1364,,,38,,,,,0.4046896696090698,0.5429778099060059,,,,,
1399,0.8099730610847473,0.8571428656578064,39,0.9056603908538818,0.40775418281555176,0.821052610874176,0.7142857313156128,,,,,,,
1399,,,39,,,,,0.41362112760543823,0.5508459210395813,,,,,
1434,0.8124438524246216,0.8378377556800842,40,0.8867924809455872,0.4310285151004791,0.821052610874176,0.738095223903656,,,,,,,
1434,,,40,,,,,0.407560259103775,0.5521861910820007,,,,,
1469,0.7792003154754639,0.8055555820465088,41,0.8679245114326477,0.43770527839660645,0.7894737124443054,0.6904761791229248,,,,,,,
1469,,,41,,,,,0.4067009389400482,0.55678790807724,,,,,
1504,0.7792003154754639,0.8055555820465088,42,0.8679245114326477,0.43391475081443787,0.7894737124443054,0.6904761791229248,,,,,,,
1504,,,42,,,,,0.4029940366744995,0.5466790199279785,,,,,
1539,0.7836927175521851,0.8709677457809448,43,0.9245282411575317,0.4246547222137451,0.800000011920929,0.6428571343421936,,,,,,,
